Language,Repository,URL,Title,Labels,Assignee,Difficulty
TypeScript,aws-cdk,https://github.com/aws/aws-cdk/issues/21712,(aws-ssm): CloudFormation templates gets parameters in random order with every update,"bug,@aws-cdk/aws-ssm,needs-triage",otaviomacedo
TypeScript,aws-cdk,https://github.com/aws/aws-cdk/issues/4391,support routing policy setting for ARecord class,"p1,feature-request,@aws-cdk/aws-route53,effort/medium",
TypeScript,aws-cdk,https://github.com/aws/aws-cdk/issues/21708,(ec2): Make it easy/possible to create persistent UserData on a Windows instance.,"p2,feature-request,@aws-cdk/aws-ec2,effort/small",corymhall
TypeScript,aws-cdk,https://github.com/aws/aws-cdk/issues/18698,(cdk-route53): Unable to create VPC Endpoint Service private DNS name in existing PublicHostedZone,"bug,p2,@aws-cdk/aws-route53,effort/medium",
TypeScript,aws-cdk,https://github.com/aws/aws-cdk/issues/21658,cloudtrail: snsTobic is read incorrectly in L2,"bug,p2,@aws-cdk/aws-cloudtrail,effort/medium",comcalvi
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4530,Using ResourceGroupTagging API returns partial results than UI resource explorer,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4517,Add a filter field To DescribeTagsInput struct in elbv2 Package,"feature-request,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4522,WaitWithContext panics without helpful error if the Request errors,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4515,List call for AWS Neptune DB Cluster does not support filter param,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4510,GetObject returns incomplete object,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4499,Please migrate to new Yaml Version V3(short issue description),"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/423,Perform Clock Skew Correction in Go SDK,"feature-request,no-autoclose",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4496,AWS SDK mutates http.DefaultTransport,bug,
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4385,Latency issues w/ STS credentials,"bug,needs-review",vudh1
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/3935,SDK client overrides region settings for custom s3api endpoint ,workaround-available,vudh1
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4473,SESv2 API should use `io.ReadSeeker` Data type in `RawMessage`,feature-request,skmcgrail
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4469,I'm getting the below error while fetching objects from the S3 bucket.  Error: RequestError: send request failed caused by: Get https://bucketName.s3.ap-south-1.amazonaws.com/xyz.jpg: dial tcp: lookup bucketName.s3.ap-south-1.amazonaws.com on x.x.x:53: no such host,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4481,Error `WAFNonexistentItemException` in classic WAF regional `GET` APIs,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4457,Input paramter MaxResults is not working properly in ListIdentityProviderConfigsPages API,bug,
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4429,CostExplorer GetCostAndUsage API returns inconsistent result ,"bug,needs-triage",RanVaknin
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4462,Redshift API Call ModifyClusterIamRoles error,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/3756,Terraform fails to init itself if cli_pager= has set no pager in .aws/config,"bug,3rd-party",KaibaLopez
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4451,endpoints: lazy load partitions to shave off more than 2.5MiB in binary size,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4441,Be able to calculate sizes of `PutMetricData` requests client-side,feature-request,
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4447,Lambda function URLs How to Read Body from Post?,"documentation,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4444,[shared defaults] unable to locate files when environment variables are not set,"bug,needs-triage",
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4367,Panic in elb.CreateLoadBalancer when AWS_REGION is not set,"bug,needs-review",vudh1
Go,aws-sdk-go,https://github.com/aws/aws-sdk-go/issues/4436,Application in pod not picking up role from service account,"bug,needs-triage",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/55,Using SAM Local inside docker-compose,"area/docker,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/137,Feature Request: API Gateway Authorizer support in SAM Local,"type/feature,priority/2-important,stage/pm-review,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/217,[Feature Request]  Add support for X-Ray on SAM Local,"type/feature,priority/2-important,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/223,Support for custom authorizer in Swagger definition,"priority/3-long-term,type/feature,area/api-integration,stage/pm-review,maintainer/need-followup",sapessi
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/1654,Show release history and allow rollback to previous revision,"type/feature,stage/pm-review,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/327,Pretty print option for sam local invoke output,"type/ux,priority/4-nice-to-have,type/feature,contributors/welcome,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/364,[Feature Request] Schema validation on an API Gateway Request,"type/feature,area/local/start-api,stage/pm-review,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/510,Support one Local Lambda calling another Local Lambda scenarios,"area/docs,type/feature,priority/2-important,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/477,Compression packs symlinks as copies,"area/bestpractices,area/package,type/bug,stage/needs-investigation,area/performance,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/659,Custom DNS support for SAM Docker container,"type/feature,area/docker,stage/pm-review,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/681,Support for context.function_name?,"type/question,stage/needs-attention,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/697,[Feature Request] Cognito Offline Testing,"type/feature,area/local/start-api,stage/pm-review,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/756,npm link causes sam local to error,"type/bug,area/build,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/794,"""sam build"" feedback: Support private PyPi repositories","type/feature,type/feedback,area/build,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/790,[Feature Request] InlineCode support for sam local,"area/lambda-invoke,type/feature,stage/pm-review,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/817,Add pipenv support for build command,"area/build,stage/pm-review,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/818,build: editable dependencies in Python breaks build command,"area/build,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/851,Package command should fail without Transform: AWS::Serverless-2016-10-31,"type/ux,area/package,type/feature,area/deploy,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/896,Websocket Support for API Gateway,"type/feature,area/local/start-api,stage/pm-review,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/879,sam package speed degrade when artifact size is large,"type/ux,area/package,area/performance,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/900,Run tests in an environment which also includes layers,"type/feature,type/bug,area/layers,stage/bug-repro,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/933,Include cfn-python-lint checks into sam validate,"type/feature,area/validate,stage/pm-review,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/963,'docker-volume-basedir' option for 'sam build' command,"type/ux,type/feature,area/docker,area/build,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/973,Building functions that require native libraries to be present,"type/feature,area/build,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/1003,[start-api] Support Api Gateway Integration type: aws,"type/feature,area/local/start-api,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/995,Include parameters from file in template.yaml,"type/feature,stage/needs-feedback,area/layers,stage/pm-review,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/1005,SAM should fall back to copy if mounting a directory fails,"area/lambda-invoke,type/feature,area/debugging,area/build,stage/pm-review,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/1008,ALB support from SAM ,"type/feature,stage/needs-feedback,stage/pm-review,maintainer/need-followup",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/1010,Path variables are not compatible with API Gateway,"type/ux,area/local/start-api,maintainer/need-response",
Python,aws-sam-cli,https://github.com/aws/aws-sam-cli/issues/1024,"""sam build"" omits cpython DLLs?","type/ux,type/bug,area/build,maintainer/need-followup",
Go,amazon-ecs-agent,https://github.com/aws/amazon-ecs-agent/issues/3352,General question on releases,,
Go,amazon-ecs-agent,https://github.com/aws/amazon-ecs-agent/issues/3335,Instructions for Setting up ECS Agent Container (i.e. Other Linux AMIs when awsvpc networking mode is enabled) Do Not Work,more info needed,
Go,amazon-ecs-agent,https://github.com/aws/amazon-ecs-agent/issues/3226,AWS ECS task stuck in pending state,more info needed,
Go,amazon-ecs-agent,https://github.com/aws/amazon-ecs-agent/issues/3323,Incorrect memory utilization under cgroup2 on Amazon Linux 2022,,
